
Color,Color_Name,Hex,R,G,B
Black,Black,#000000,0,0,0
White,White,#FFFFFF,255,255,255
Red,Red,#FF0000,255,0,0
Lime,Lime,#00FF00,0,255,0
Blue,Blue,#0000FF,0,0,255
Yellow,Yellow,#FFFF00,255,255,0
Cyan,Cyan,#00FFFF,0,255,255
Magenta,Magenta,#FF00FF,255,0,255
Silver,Silver,#C0C0C0,192,192,192
Gray,Gray,#808080,128,128,128
Maroon,Maroon,#800000,128,0,0
Olive,Olive,#808000,128,128,0
Green,Green,#008000,0,128,0
Purple,Purple,#800080,128,0,128
Teal,Teal,#008080,0,128,128
Navy,Navy,#000080,0,0,128
Orange,Orange,#FFA500,255,165,0
Pink,Pink,#FFC0CB,255,192,203
Brown,Brown,#A52A2A,165,42,42
Gold,Gold,#FFD700,255,215,0
SkyBlue,SkyBlue,#87CEEB,135,206,235
Violet,Violet,#EE82EE,238,130,238
LightGreen,LightGreen,#90EE90,144,238,144
DarkGreen,DarkGreen,#006400,0,100,0
Beige,Beige,#F5F5DC,245,245,220
Turquoise,Turquoise,#40E0D0,64,224,208
Coral,Coral,#FF7F50,255,127,80
Salmon,Salmon,#FA8072,250,128,114
Khaki,Khaki,#F0E68C,240,230,140
Lavender,Lavender,#E6E6FA,230,230,250
Indigo,Indigo,#4B0082,75,0,130
Tomato,Tomato,#FF6347,255,99,71
Mint,Mint,#98FF98,152,255,152
Chocolate,Chocolate,#D2691E,210,105,30
Crimson,Crimson,#DC143C,220,20,60
Plum,Plum,#DDA0DD,221,160,221
Orchid,Orchid,#DA70D6,218,112,214
Honeydew,Honeydew,#F0FFF0,240,255,240
Azure,Azure,#F0FFFF,240,255,255
Ivory,Ivory,#FFFFF0,255,255,240
Snow,Snow,#FFFAFA,255,250,250
Tan,Tan,#D2B48C,210,180,140
